"Europe First Priority","الأولوية الأولى في أوروبا"
"1 Day Freight","الشحن بيوم واحد"
"2 Day Freight","الشحن في يومين"
"2 Day","يومان"
"2 Day AM","يومان صباحا"
"3 Day Freight","3 يوم شحن"
"Express Saver","اعرب عن الموفر"
"Ground","سطح الأرض"
"First Overnight","الليلى الاولى"
"Home Delivery","التسليم بالمنزل"
"International Economy","الاقتصاد الدولي"
"Intl Economy Freight","Intl الاقتصاد الشحن"
"International First","اول عالمي"
"International Ground","International Ground"
"International Priority","اولوية دولية"
"Intl Priority Freight","Intl اولوية الشحن"
"Priority Overnight","اولوية الليل"
"Smart Post","الموقع الذكي"
"Standard Overnight","الموحدة بين عشية وضحاها"
"Freight","الشحن"
"National Freight","الشحن الوطنية"
"Regular Pickup","التقاط عادي"
"Request Courier","طلب الساعي"
"Drop Box","صندوق الحذف"
"Business Service Center","مركز الخدمة التجاري"
"Station","محطة"
"FedEx Envelope","FedEx ظرف"
"FedEx Pak","FedEx Pak"
"FedEx Box","FedEx صندوق"
"FedEx Tube","FedEx الانبوب"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"Your Packaging","Your Packaging"
"Not Required","غير مطلوب"
"Adult","Adult"
"Direct","Direct"
"Indirect","Indirect"
"Pounds","جنيهات"
"Kilograms","كيلوجرام"
"Invalid response from carrier","Invalid response from carrier"
"No available tracking items","No available tracking items"
"For some reason we can't retrieve tracking info right now.","لسبب من الأسباب لا يمكننا استرداد معلومات التتبع الآن."
"status","status"
"Empty response","رد فارغ"
"None","لا شئ"
"Field ","حقل "
" is required."," مطلوب."
"FedEx","FedEx"
"Enabled for Checkout","Enabled for Checkout"
"Title","العنوان"
"Account ID","معرف الحساب"
"Please make sure to use only digits here. No dashes are allowed.","Please make sure to use only digits here. No dashes are allowed."
"Meter Number","Meter Number"
"Key","Key"
"Password","كلمة المرور"
"Sandbox Mode","Sandbox Mode"
"Web-Services URL (Production)","Web-Services URL (Production)"
"Web-Services URL (Sandbox)","Web-Services URL (Sandbox)"
"Packages Request Type","Packages Request Type"
"Packaging","التغليف"
"Dropoff","من الحذف"
"Weight Unit","وحدة الوزن"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","الحد الاقصى لوزن الطرد (الشحن الخاص بك، يرجى الرجوع إلى الناقل عن الحد الأقصى للوزن الشحن)"
"Calculate Handling Fee","حساب رسوم التوصيل"
"Handling Applied","تم تطبيق المعاملة"
"Handling Fee","رسوم التوصيل"
"Residential Delivery","Residential Delivery"
"Allowed Methods","شركات الشحن المسموح بها"
"Hub ID","Hub ID"
"The field is applicable if the Smart Post method is selected.","The field is applicable if the Smart Post method is selected."
"Free Method","Free Method"
"Enable Free Shipping Threshold","Enable Free Shipping Threshold"
"Free Shipping Amount Threshold","Free Shipping Amount Threshold"
"Displayed Error Message","رسالة الخطأ المعروضة"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Debug","نقح"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Sort Order","الترتيب"
"Expected Delivery:","Expected Delivery:"
