"Manage Shopping Cart","શોપિંગ કાર્ટ મેનેજ કરો"
"Create Order","ઓર્ડર બનાવો"
"Back","પાછું"
"Add Products","ઉત્પાદનો ઉમેરો"
"Update Items and Quantities","વસ્તુઓ અને જથ્થો સુધારો કરો"
"Are you sure you want to clear your cart?","શું તમે ખરેખર તમારા કાર્ટને સાફ કરવા માંગો છો?"
"Clear my shopping cart","મારી શોપિંગ કાર્ટ સાફ કરો"
"Add selections to my cart","મારા કાર્ટ પસંદગીઓ ઉમેરો"
"Cancel","રદ કરો"
"Shopping Cart for %1 in %2","%2 માં %1 માટે શોપિંગ કાર્ટ"
"Select products you want to buy","તમે ખરીદવા માંગતા હો તે ઉત્પાદનો પસંદ કરો"
"Product","ઉત્પાદન"
"Price","કિંમત"
"Quantity","જથ્થો"
"Products in the Comparison List (%1)","તુલના સૂચિમાં ઉત્પાદનો (%1)"
"Last ordered items (%1)","છેલ્લી આદેશિત વસ્તુઓ (%1)"
"Products","ઉત્પાદનો"
"ID","આઇડી"
"SKU","એસકેયુ"
"Recently Compared Products (%1)","તાજેતરમાં સરખાવેલ ઉત્પાદનો (%1)"
"Recently Viewed Products (%1)","તાજેતરમાં જોવાયેલી ઉત્પાદનો (%1)"
"Add to Shopping Cart by SKU","એસકેયુ દ્વારા શોપિંગ કાર્ટમાં ઉમેરો"
"Add to Shopping Cart","શોપિંગ કાર્ટ ઉમેરો"
"Wish List (%1)","ઇચ્છા સૂચિ (%1)"
"Apply","અરજી કરો"
"Configure","રૂપરેખાંકિત કરો"
"Add to Order by SKU","એસકેયુ દ્વારા ઓર્ડર ઉમેરો"
"Add to Order","ક્રમમાં ઉમેરો"
"Add Products to Order","ઑર્ડર કરવા માટે ઉત્પાદનો ઉમેરો"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span> <span id = ""sku-attention-num"">%1 </ span> ઉત્પાદન (્સ) ને ધ્યાન આપવાની જરૂર છે. </ span>"
"Remove All","બધા દૂર કરો"
