"Gift Wrapping","تغليف الهدايا"
"Add Gift Wrapping","اضف تغليف الهدايا"
"Save and Continue Edit","حفظ ومواصلة التعديل"
"Are you sure you want to delete this gift wrapping?","هل أنت متأكد من أنك تريد حذف تغليف هذه الهدية؟"
"Edit Gift Wrapping ""%1""","تعديل تغيلف الهدية ""%1"""
"New Gift Wrapping","تغليف هدايا جديد"
"Gift Wrapping Information","معلومات لف الهدية"
"Gift Wrapping Design","تصميم لفة الهدية"
"Websites","الموقع"
"Status","الحاله"
"Enabled","تفعيل"
"Disabled","غير مفعل"
"Price","السعر"
"Image","صورة"
"[GLOBAL]","[عام]"
"[WEBSITE]","[الموقع]"
"[STORE VIEW]","[عرض المتجر]"
"Please request the correct gift wrapping.","Please request the correct gift wrapping."
"You updated a total of %1 records.","تم تحديث مجموعة %1 سجلات."
"Something went wrong while updating the wrapping(s) status.","Something went wrong while updating the wrapping(s) status."
"You deleted the gift wrapping.","لقد حذفت تغليف الهدايا."
"%1","%1"
"Please select items.","Please select items."
"You deleted a total of %1 records.","قمت بحذف مجموعة سجلات %1."
"You have not uploaded the image.","لم تقم برفع الصورة."
"You saved the gift wrapping.","You saved the gift wrapping."
"We can't save the gift wrapping right now.","لا نستطيع حفظ امر تغليف الهدية الآن."
"We can't update the image right now.","لانستطيع تحميل الصورة في الوقت الحالي."
"Please select","أختر من فضلك"
"Excluding Tax","Excluding Tax"
"Including Tax","Including Tax"
"Including and Excluding Tax","Including and Excluding Tax"
"None","لا شئ"
"The image content must be valid data.","The image content must be valid data."
"The image extension ""%1"" not allowed.","The image extension ""%1"" not allowed."
"Provided image name contains forbidden characters.","Provided image name contains forbidden characters."
"The image MIME type is not valid or not supported.","The image MIME type is not valid or not supported."
"Gift Wrapping with specified ID ""%1"" not found.","Gift Wrapping with specified ID ""%1"" not found."
"Please enter valid currency code: %1","Please enter valid currency code: %1"
"Unable to remove gift wrapping %1","Unable to remove gift wrapping %1"
"Printed Card","Printed Card"
"Use Config Settings","استخدام اعداد الاعدادات"
"Use Default Value","استخدام قيمة افتراضية"
"Leave a box blank if you don't want to add gift wrapping for whole order.","اترك المربع فارغاً إذا كنت لاترغب بتغليف المنتج."
"Price Excl. Tax","السعر غير شامل الضريبة"
"Price Incl. Tax","السعر شامل الضريبة"
"Send Gift Receipt","Send Gift Receipt"
"Add Printed Card","Add Printed Card"
"Gift Wrapping for the Entire Order","Gift Wrapping for the Entire Order"
"Other Gift Options","Other Gift Options"
"Excl. Tax","غير شامل الضريبة"
"Incl. Tax","شامل الضريبة"
"Preview","اعادة المشاهدة"
"Gift wrapping","Gift wrapping"
"Printed card","Printed card"
"Gift receipt","Gift receipt"
"Pick a paper of your choice (optional)","Pick a paper of your choice (optional)"
"No image","لا توجد صورة"
"Remove","ازالة"
"Gift Receipt","Gift Receipt"
"Allow Gift Wrapping on Order Level","Allow Gift Wrapping on Order Level"
"Allow Gift Wrapping for Order Items","Allow Gift Wrapping for Order Items"
"Allow Gift Receipt","Allow Gift Receipt"
"Allow Printed Card","Allow Printed Card"
"Default Price for Printed Card","Default Price for Printed Card"
"Tax Class for Gift Options","Tax Class for Gift Options"
"Display Gift Wrapping Prices","Display Gift Wrapping Prices"
"Display Printed Card Prices","Display Printed Card Prices"
"Delete","احذف"
"Are you sure you want to delete the selected gift wrappings?","Are you sure you want to delete the selected gift wrappings?"
"Change Status","تغيير الحالة"
"ID","التعريف"
"Gift Wrap Design","Gift Wrap Design"
"Action","إجراء"
"Edit","تعديل"
"Custom Price","Custom Price"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"Gift wrapping with the %1 ID wasn't found. Verify the ID and try again.","Gift wrapping with the %1 ID wasn't found. Verify the ID and try again."
"A valid currency code wasn't entered. Enter a valid %1 currency code and try again.","A valid currency code wasn't entered. Enter a valid %1 currency code and try again."
"The ""%1"" gift wrapping couldn't be removed.","The ""%1"" gift wrapping couldn't be removed."
