"Country","Mamlakat"
"Allowed Credit Card Types","Ruxsat berilgan kredit kartalari turlari"
"Add Rule","Qoida qo'shish"
"Braintree Settlement Report","Braintryning taxminiy hisoboti"
"Sorry, but something went wrong","Kechirasiz, lekin bir narsa noto'g'ri ketdi"
"We can't initialize checkout.","We can't initialize checkout."
"No authorization transaction to proceed capture.","Yozishni davom ettirish uchun tranzaktsiyalarga ruxsat yo'q."
"Transaction is successful.","Jarayon muvaffaqiyatli."
"Braintree error response.","Braintree xato javob."
"Payment method nonce can't be retrieved.","Bir martalik to'lov usulini olish mumkin emas."
"Wrong transaction status","Jurnal holati noto'g'ri"
"Authorize","Ruxsat berish"
"Authorize and Capture","Ruxsat berish va qabul qilish"
"--Please Select--","--Iltimos tanlang--"
"Credit Card","Kredit karta"
"ending","tugatish"
"expires","amal qilish muddati"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Buyurtmani joylashtirishdan oldin barcha talab va shartlarga rozilik bildiring."
"Transaction was failed.","Jarayon amalga oshmadi."
"Credit Card Type","Kredit kartasi turi"
"Credit Card Number","Kredit karta raqami"
"Please, enter valid Credit Card Number","Iltimos, kredit karta raqamini to'g'ri kiriting"
"Expiration Date","Amal qilish muddati"
"Please, enter valid Expiration Date","Iltimos, tegishli amal qilish muddatini kiriting"
"Card Verification Number","Karta tasdiqlash kodi"
"Please, enter valid Card Verification Number","Iltimos joriy kredit karta tasdiqlash raqamini kiriting"
"Are you sure you want to delete this PayPal account","Haqiqatan ham ushbu PayPal hisobini o'chirib tashlamoqchimisiz"
"PayPal Account","PayPal Profil"
"PayPal Logo","PayPal logotipi"
"Actions","Amallar"
"Delete","O‘chirish"
"Credit Card Information","Kredit kartasi ma'lumotlari"
"What is this?","Bu nima?"
"Save for later use.","Keyinchalik foydalanish uchun saqlash."
"Place Order","Buyurtni joylashtirish"
"This payment is not available","Ushbu to'lov mavjud emas"
"MM","MM"
"YY","YY"
"Please try again with another form of payment.","Boshqa to'lov shakli bilan qaytadan urinib ko'ring."
"Sorry, but something went wrong.","Kechirasiz, lekin bir narsa noto'g'ri ketdi."
"Payment ","To'lov "
"Credit card type is not accepted by this merchant account.","Credit card type is not accepted by this merchant account."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Jurnalni faqat aholi yashash joylari uchun ruxsat berilgan taqdirda bekor qilish mumkin yoki - PayPal uchun hisob-kitob kutilmoqda."
"Credit transactions cannot be refunded.","Kredit bitimlarini qaytarib bo'lmaydi."
"Cannot refund a transaction unless it is settled.","Cannot refund a transaction unless it is settled."
"Cannot submit for settlement unless status is authorized.","Cannot submit for settlement unless status is authorized."
"Customer does not have any credit cards.","Customer does not have any credit cards."
"Transaction has already been completely refunded.","Shartnoma allaqachon to'liq qaytarilgan."
"Payment instrument type is not accepted by this merchant account.","To'lov vositasi turi bu savdogar hisobiga qabul qilinmaydi."
"Processor authorization code cannot be set unless for a voice authorization.","Processor authorization code cannot be set unless for a voice authorization."
"Refund amount is too large.","To'langan pul miqdori juda katta."
"Settlement amount is too large.","To'lov miqdori juda yuqori."
"Cannot provide a billing address unless also providing a credit card.","Cannot provide a billing address unless also providing a credit card."
"Cannot refund a transaction with a suspended merchant account.","Bloklangan savdogar hisobiga bitimni qaytarib bo'lmaydi."
"Merchant account does not support refunds.","Savdogar hisob qaydnomasi qaytarib berilmaydi."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Ushbu savdo hisobidagi holatni aniqlashda tranzaktsiyalarni qaytarib bera olmaysiz. Jarayon tugaganidan keyin yana urinib ko'ring."
"PayPal is not enabled for your merchant account.","Hisobingiz uchun PayPal yoqilmagan."
"Partial settlements are not supported by this processor.","Qisman hisob-kitoblar ushbu protsessor tomonidan qo'llab-quvvatlanmaydi."
"Cannot submit for partial settlement.","Qisman tartibga solish uchun topshirib bo'lmaydi."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Agar PayPalning qisman to'lovi bilan amalga oshirilgan bitim holati kutilayotgan deb hisoblansa, bitimni bekor qilish mumkin emas."
"Too many concurrent attempts to refund this transaction. Try again later.","Ushbu tranzaktsiyani qaytarish uchun bir vaqtning o'zida juda ko'p harakat qilindi. Keyinroq qayta urinib ko'ring."
"Too many concurrent attempts to void this transaction. Try again later.","Ushbu tranzaktsiyani bekor qilish uchun juda ko'p bir vaqtning o'zida urinishlar. Keyinroq qayta urinib ko'ring."
"Braintree","Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Magento do'konida kredit/debet kartalari va PayPalni qabul qiling.<br/>Hech qanday sozlash yoki oylik to'lovlar yo'q va mijozlar xaridni bajarish uchun do'kondan hech qachon chiqib ketishmaydi."
"Enable this Solution","Ushbu biznesni yoqing"
"Enable PayPal through Braintree","Braintree orqali PayPal'ni yoqing"
"Vault Enabled","Vault yoqildi"
"Basic Braintree Settings","Asosiy braintree sozlamalari"
"Title","Sarlavha"
"Environment","Atrof muhit"
"Payment Action","To'lov turi"
"Merchant ID","Savdo identifikatori"
"Public Key","Umumiy kalit"
"Private Key","Yashirin kalit"
"Advanced Braintree Settings","Kengaytirilgan Braintree sozlamalari"
"Vault Title","Saqlash joyi nomi"
"Merchant Account ID","Savdo Profil ID"
"Advanced Fraud Protection","Qalloblikdan himoya qilishni yaxshilash"
"Kount Merchant ID","Sotuvchi ID"
"Debug","Xatolarni tuzatish"
"CVV Verification","CVV tekshiruvi"
"Credit Card Types","Kredit kartasi turlari"
"Sort Order","Saralash tartibi"
"Country Specific Settings","Mamlakatga xos parametrlar"
"Payment from Applicable Countries","Qo'llaniladigan mamlakatlar to'lovi"
"Payment from Specific Countries","Muayyan mamlakatlardan to'lov"
"Country Specific Credit Card Types","Mamlakatga maxsus kredit kartalari turlari"
"PayPal through Braintree","Braintree orqali PayPal"
"Override Merchant Name","Savdo nomini qayta nomlash"
"Require Customer's Billing Address","Xaridorning to'lov manzili talab qilinadi"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","PayPal orqali chiqish jarayonida kiritilgan yetkazib berish manzilini tahrirlashga ruxsat bering"
"Display on Shopping Cart","Savatda ko'rsatish"
"Skip Order Review","Buyurtmani ko'rib chiqish"
"3D Secure Verification Settings","3D Secure tasdiqlash sozlamalari"
"3D Secure Verification","3D Secure tekshirish"
"Threshold Amount","Eshik miqdori"
"Verify for Applicable Countries","Qo'llaniladigan mamlakatlar uchun tasdiqlang"
"Verify for Specific Countries","Muayyan mamlakatlar uchun tekshirish"
"Dynamic Descriptors","Dinamik identifikatorlar"
"Name","Ism"
"Phone","Telefon"
"URL","URL"
"CVV is required.","CVV is required."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV American Express uchun 4 ta raqam va boshqa kartalar uchun 3 ta raqam bo'lishi kerak."
"Expiration date is required.","Expiration date is required."
"Expiration date is invalid.","Expiration date is invalid."
"Expiration year is invalid. It must be between 1975 and 2201.","Muddati o'tgan yil yaroqsiz. Bu 1975 yildan 2201 yilgacha bo'lishi kerak."
"Expiration month is invalid.","Expiration month is invalid."
"Expiration year is invalid.","Expiration year is invalid."
"Credit card number is required.","Credit card number is required."
"Credit card number is invalid.","Credit card number is invalid."
"Credit card number must be 12-19 digits.","Credit card number must be 12-19 digits."
"Cardholder name is too long.","Cardholder name is too long."
"CVV verification failed.","CVV tekshiruvi bajarilmadi."
"Postal code verification failed.","Pochta kodini tekshirib bo'lmadi."
"Credit card number is prohibited.","Kredit karta raqami taqiqlangan."
"Addresses must have at least one field filled in.","Manzillarda kamida bitta maydon to'ldirilgan bo'lishi kerak."
"Company is too long.","Company is too long."
"Extended address is too long.","Extended address is too long."
"First name is too long.","First name is too long."
"Last name is too long.","Last name is too long."
"Locality is too long.","Locality is too long."
