"Always","Aina"
"After number of attempts to login","Kirjautumisyritysmäärän jälkeen"
"Provided form does not exist","Annettua lomaketta ei ole olemassa"
"Incorrect CAPTCHA","Virheellinen CAPTCHA"
"Incorrect CAPTCHA.","Virheellinen CAPTCHA."
"The account is locked. Please wait and try again or contact %1.","Tili on lukittu. Odota hetki ja yritä uudelleen tai ota yhteyttä %1."
"Please enter the letters and numbers from the image","Kirjoita kuvassa näkyvät kirjaimet ja numerot"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Huomio</strong>: Captchassa kirjainkoolla on väliä."
"Reload captcha","Uudelleenlataa CAPTCHA"
"Please type the letters and numbers below","Ole hyvä ja kirjoita alapuolella olevat kirjaimet"
"Attention: Captcha is case sensitive.","Huomio: Captchassa kirjainkoolla on väliä."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Ota CAPTCHA käyttöön hallintasivulla"
"Font","Fontti"
"Forms","Lomakkeet"
"Displaying Mode","Näyttötila"
"Number of Unsuccessful Attempts to Login","Epäonnistuneiden kirjautumisyritysten määrä"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Jos 0 on määritetty, kirjautumislomakkeen CAPTCHA on aina saatavilla."
"CAPTCHA Timeout (minutes)","CAPTCHA-aikakatkaisu (minuutteina)"
"Number of Symbols","Merkkien määrä"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Määritä enintään 8 symbolia. Valintaväli hyväksytään (esimerkiksi 3-5)"
"Symbols Used in CAPTCHA","CAPTCHAssa käytetyt merkit"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer."
"Case Sensitive","Kirjainkoolla on väliä"
"Enable CAPTCHA on Storefront","Ota CAPTCHA käyttöön kaupan etusivulla"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","Jos valittu, CAPTCHA on aina käytössä lomakkeilla ""Luo käyttäjä"" ja ""Unohditko salasanasi""."
"Please enter the letters from the image","Please enter the letters from the image"
"Please type the letters below","Please type the letters below"
