"Always","Alltid"
"After number of attempts to login","Efter antalet försök att logga in"
"Provided form does not exist","Formuläret existerar inte"
"Incorrect CAPTCHA","Felaktiga CAPTCHA"
"Incorrect CAPTCHA.","Felaktiga CAPTCHA."
"The account is locked. Please wait and try again or contact %1.","Kontot är låst. Vänta och försök igen eller kontakta %1."
"Please enter the letters and numbers from the image","Vänligen skriv in bokstäver och siffror från bilden"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>OBS</strong>: Captcha är skiftlägeskänsligt."
"Reload captcha","Uppdatera captcha"
"Please type the letters and numbers below","Vänligen skriv in bokstäver och siffror nedan"
"Attention: Captcha is case sensitive.","OBS: Captcha är skiftlägeskänsligt."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Aktivera CAPTCHA i Admin"
"Font","Typsnitt"
"Forms","Formulär"
"Displaying Mode","Visningsläge"
"Number of Unsuccessful Attempts to Login","Antal misslyckade försök att logga in"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Om 0 anges blir CAPTCHA på inloggningsformuläret alltid tillgängliga."
"CAPTCHA Timeout (minutes)","CAPTCHA Timeout (minuter)"
"Number of Symbols","Antal symboler"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Vänligen ange som mest 8 symboler. Urval tillåts (t.ex. 3-5)"
"Symbols Used in CAPTCHA","Symboler som används i CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer."
"Case Sensitive","Skiftlägeskänslig"
"Enable CAPTCHA on Storefront","Aktivera CAPTCHA i webbutiken"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA för ""Skapa användare"" och ""Glömt lösenord"" former är alltid aktiverad om valt."
"Please enter the letters from the image","Please enter the letters from the image"
"Please type the letters below","Please type the letters below"
