"Always","Alati"
"After number of attempts to login","After number of attempts to login"
"Provided form does not exist","Antud vormi pole olemas"
"Incorrect CAPTCHA","Vale CAPTCHA"
"Incorrect CAPTCHA.","Vale CAPTCHA."
"The account is locked. Please wait and try again or contact %1.","The account is locked. Please wait and try again or contact %1."
"Please enter the letters and numbers from the image","Please enter the letters and numbers from the image"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Tähelepanu</strong>: Captcha on tõstutundlik."
"Reload captcha","Lae captcha uuesti"
"Please type the letters and numbers below","Please type the letters and numbers below"
"Attention: Captcha is case sensitive.","Tähelepanu: Captcha on tõstutundlik."
"CAPTCHA","CAPTCHA"
"Enable CAPTCHA in Admin","Luba CAPTCHA administaatoris"
"Font","Šrift"
"Forms","Vormid"
"Displaying Mode","Kuvamise režiim"
"Number of Unsuccessful Attempts to Login","Ebaõnnestunud sisselogimise katsete kogus"
"If 0 is specified, CAPTCHA on the Login form will be always available.","If 0 is specified, CAPTCHA on the Login form will be always available."
"CAPTCHA Timeout (minutes)","CAPTCHA Timeout (minutes)"
"Number of Symbols","Sümboleid"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Please specify 8 symbols at the most. Range allowed (e.g. 3-5)"
"Symbols Used in CAPTCHA","Symbols Used in CAPTCHA"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer."
"Case Sensitive","Tõstutundlik"
"Enable CAPTCHA on Storefront","Luba CAPTCHA poevaates"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen.","CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen."
"Please enter the letters from the image","Please enter the letters from the image"
"Please type the letters below","Please type the letters below"
