"Credit card type","Тип кредитной карты"
"CVV result","CVV результат"
"Postcode AVS check","Проверка почтовогр индекса AVS"
"Address AVS check","Проверка AVS адреса"
"Country comparison check","Проверка сравнения стран"
"Risk Score","Оценка Риска"
"Not supported","Не поддерживается"
"Not checked","Не проверено"
"Matched","Подошло"
"Not matched","Нет совпадений"
"Partially matched","Частично подошло"
"No such order id.","Нет такого id заказа."
"Your purchase process has been cancelled.","Ваш процесс покупки был отменён."
"Something went wrong while processing your order. Please try again later.","Во время обработки вашего заказа что-то пошло не так. Пожалуйста, повторите попытку позже."
"Gateway response is not valid.","Ответ порта недействителен."
"Wrong response type","Wrong response type"
"Currency doesn't match.","Валюта не совпадает."
"Amount doesn't match.","Сумма не соответствует."
"Not supported response.","Не поддерживаемый ответ."
"Gateway processing error.","Ошибка обработки порта."
"Transaction was not placed.","Транзакция не была совершина."
"None","Нет"
"Authorize","Авторизировать"
"Authorize and Capture","Авторизировать и записать"
"Refused","Отклонено"
"Authorised","Авторизован"
"Error","Ошибка"
"Captured","Запись"
"Please click ","Пожалуйста, нажмите "
"here","здесь"
" if you are not redirected automatically."," если вы не перенаправлены автоматически."
"You will be redirected to the Worldpay website.","Вы будете перенаправлены на сайт Worldpay."
"Continue to Worldpay","Продолжать в Worldpay"
"Worldpay","WorldPay"
"Enabled","Включено"
"Title","Заголовок"
"Payment Response Password","Payment Response Password"
"Remote Admin Installation ID","Remote Admin Installation ID"
"Remote Admin Authorisation Password","Пароль авторизации удаленного администрирования"
"MD5 Secret for Transactions","MD5 Secret for Transactions"
"Allow To Edit Contact Information","Позволяет изменить контактную информацию"
"Hide Contact Information","Скрыть контактную информацию"
"Debug","Отладка"
"Test Mode","Тестовый режим"
"Payment Action for Test","Payment Action for Test"
"Payment Action","Тип платежа"
"Payment From Applicable Countries","Оплата из допустимых стран"
"Payment From Specific Countries","Оплата из определенных стран"
"Set Order Status to Suspected Fraud for CVV","Установить статус заказа мошенничества для CVV"
"Set Order Status to Suspected Fraud for Postcode AVS","Установить статус заказа мошенничества для почтового индекса AVS"
"Sort Order","Порядок Сортировки"
"Payment was canceled.","Оплата была отменена."
"Your payment has been successfully processed by our shop system.","Ваш платеж успешно обработан нашей системой магазина."
"Payment was canceled","Payment was canceled"
"Please ","Пожалуйста "
"continue shopping","continue shopping"
"Transaction has been canceled","Transaction has been canceled"
"Transaction has been declined","Transaction has been declined"
"The response type is incorrect. Verify the type and try again.","The response type is incorrect. Verify the type and try again."
