"Partners","Socios"
"Magento Marketplace","Mercado de Magento"
"Platinum Partners","Socios platino"
"Representing Magento's highest level of partner engagement, Magento Platinum Partners have established themselves as leaders and innovators of key products and services designed to help merchants and brands grow their business. Magento reserves the Platinum level for select trusted partners that are committed to offering integrations of commerce features, functions, and tools, as well as back-end systems and operations, to extend and enhance the power of the Magento commerce platform.","Representando el más alto nivel de participación de los socios de Magento, Magento Partners Platinum se han establecido como líderes e innovadores de productos y servicios clave diseñados para ayudar a los comerciantes y marcas a crecer en sus negocios. Magento se reserva el nivel Platino para una selección de colaboradores de confianza que se han comprometido a ofrecer características de integración de comercio, funciones y herramientas, así como los sistemas de back-end y operaciones, para ampliar y mejorar el poder de la plataforma de comercio electrónico Magento."
"Featured Platinum Partners","Socios platino recomendados"
"Partner search","Búsqueda de socios"
"Magento has a thriving ecosystem of technology partners to help merchants and brands deliver the best possible customer experiences. They are recognized as experts in eCommerce, search, email marketing, payments, tax, fraud, optimization and analytics, fulfillment, and more. Visit the Magento Partner Directory to see all of our trusted partners.","Magento tiene un próspero ecosistema de socios tecnológicos para ayudar a los comerciantes y marcas a proporcionar la mejor experiencia posible a sus clientes. Ellos son reconocidos como expertos en comercio electrónico, búsqueda, marketing por correo electrónico, pagos de impuestos, el fraude, la optimización, análisis y mucho más. Visita el directorio de socios de Magento para ver todos nuestros socios de confianza."
"More Partners","Más socios"
"Extensions and Themes are an essential component of the Magento Ecosystem. Please visit the Magento Marketplace to see the latest innovations that developers have created to enhance your Magento Store.","Extensiones y temas son un componente esencial del ecosistema Magento. Visite el mercado de Magento para ver las últimas novedades que los desarrolladores han creado para mejorar su tienda Magento."
"Visit Magento Marketplaces","Visitar el mercado de Magento"
"Read More","Leer más"
"Partner Page","Página de socio"
"No partners were found","No se encontraron socios"
"Find Partners & Extensions","Encontrar socios y extensiones"
