"Quick Order","Comandă rapidă"
"Page not found.","Pagina nu a fost găsită."
"The uploaded CSV file does not contain a column labelled SKU. Make sure the first column is labelled SKU and that each line in the file contains a SKU value. Then upload the file again.","Fișierul CSV încărcat nu conține o coloană etichetată SKU. Asigurați-vă că prima coloană este etichetată SKU și că fiecare linie din fișier conține o valoare SKU. Apoi încărcați fișierul din nou."
"You should correct the quantity for the product.","Ar trebui sa corectezi cantitatea pentru produs."
"The SKU is out of stock.","SKU nu este în stoc."
"We don't have the quantity you requested.","Nu avem cantitatea pe care ați solicitat-o."
"An error occurred. For details, see the error log.","A apărut o eroare. Pentru detalii, verificați jurnalul de erori."
"Exception message","Mesaj excepție"
"The file could not be uploaded because it is in the wrong format. Please select a CSV file to upload.","Fișierul nu a putut fi încărcat deoarece este în format greșit. Vă rugăm să selectați un fișier CSV pentru a fi încărcat."
"Add from File","Adaugă din Fișier"
"File must be in .csv format and include ""SKU"" and ""QTY"" columns","Fișierul trebuie să fie în format .CSV și să includă coloanele ”SKU” și ”QTY”"
"Choose File","Selectați fișierul"
"Enter Multiple SKUs","Introduceți SKU-uri multiple"
"Use commas or paragraph to separate SKUs.","Folosiți virgula sau paragraful pentru a separa SKU-urile."
"Add to List","Adaugă în listă"
"Order by SKU","Ordonare după SKU"
"Enter SKU or Product Name","Introduceți SKU sau Numele Produsului"
"Qty","Cantitate"
"Add to Cart","Adaugă în coş"
"Remove Row","Elimină Rând"
" product(s) require(s) your attention.","Produse care necesită atenția dumneavoastră."
"Enable Quick Order","Activează comanda rapidă"
"Download Sample","Descărcați proba"
"Sorry, something went wrong. You can find out more in the error log.","Ne pare rău, ceva nu a mers bine. Poți afla mai multe în jurnalul de erori."
