"Quick Order","Commande rapide"
"Page not found.","Page introuvable."
"The uploaded CSV file does not contain a column labelled SKU. Make sure the first column is labelled SKU and that each line in the file contains a SKU value. Then upload the file again.","Le fichier CSV téléversé ne contient pas de colonne nommée REF. Veuillez vous assurer que la première colonne est libellée REF et que chaque ligne du fichier contient une valeur REF. Puis téléverser de nouveau le fichier."
"You should correct the quantity for the product.","Vous devriez corriger la quantité pour le produit."
"The SKU is out of stock.","La REF n'est pas en stock."
"We don't have the quantity you requested.","Nous n'avons pas la quantité que vous avez demandée."
"An error occurred. For details, see the error log.","Une erreur est survenue. Pour plus de détails, consultez le journal des erreurs."
"Exception message","Exception message"
"The file could not be uploaded because it is in the wrong format. Please select a CSV file to upload.","Le fichier n'a pas pu être téléchargé car son format est incorrect. Veuillez sélectionner un fichier CSV à télécharger."
"Add from File","Ajouter depuis un fichier"
"File must be in .csv format and include ""SKU"" and ""QTY"" columns","Le fichier doit être au format .csv et inclure les colonnes ""SKU"" et ""QTY"""
"Choose File","Choisir un fichier"
"Enter Multiple SKUs","Veuillez saisir plusieurs REFs"
"Use commas or paragraph to separate SKUs.","Veuillez utiliser des virgules ou un paragraphe pour séparer les REFs."
"Add to List","Ajouter à la liste"
"Order by SKU","Commander par REF"
"Enter SKU or Product Name","Saisir une REF ou un nom de produit"
"Qty","Qté"
"Add to Cart","Ajouter au panier"
"Remove Row","Supprimer la ligne"
" product(s) require(s) your attention."," produit(s) requiert(èrent) votre attention."
"Enable Quick Order","Activer la commande rapide"
"Download Sample","Télécharger un exemple"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
